id	en	ko
alp	Cyrus	리포
dga	Copper	경찰관
doc	Wilbur	로드리
tkkB	DJ KK	DJ K.K.
dgb	Booker	경찰관
dod	Orville	모리
bev	Chip	뚱달
chm	Nat	멜레옹
spn	Harvey	파니엘
sza	Isabelle	여울
tap	Luna	몽셰르
mnk	Porter	역무원
pck	Pavé	베르리나
slo	Leif	늘봉
bey	C.J.	저스틴
bpt	Katrina	마추릴라
ows	Celeste	부옥
pkn	Jack	펌킹
poo	Harriet	카트리나
alw	Reese	리사
skk	Kicks	패트릭
ttlA	Tortimer	고북
hgc	Label	고숙이
kpg	Grams	귀녀
rcm	Timmy	콩돌이
fsl	Phineas	파론티노
rco	Tom Nook	너굴
chy	Flick	레온
hgh	Mabel	고순이
grf	Gracie	그레이스
kpm	Leilani	갑순
szo	Digby	켄트
mka	Blanca	아트고양이
mob	Don	오루묵씨
otg	Lottie	솜이
pyn	Zipper	토빗
rct	Tommy	밤돌이
kpp	Kapp'n	갑돌
rei	Jingle	루돌
gst	Wisp	깨빈
kps	Leila	꼬미
cml	Saharah	사하라
tuk	Franklin	프랭클린
wrl	Wendell	고파유
upa	Shrunk	스승
boa	Joan	무파라
fox	Redd	여욱
plk	Pelly	펠리
hgs	Sable	고옥이
lom	Katie	미야
boc	Daisy Mae	무파니
mol	Resetti	도루묵씨
plm	Phyllis	펠리미
pge	Brewster	마스터
gul	Gulliver	죠니
owl	Blathers	부엉
plo	Pete	펠리오
seo	Pascal	해탈한
xct	Rover	낯선고양이
ott	Lyle	안심해씨
tkkA	K.K.	K.K.
100	Lloid	토용군
103	Snowboy	눈사람
203	Operator	상담원
201	???	???
202	Everyone	일동
ost03	Sprocket	헤르츠
pgn11	Iggly	김말이
pig13	Gala	꽃지
pgn12	Tex	볼트
pig14	Chops	돈후앙
shp10	Timbra	잔디
ost05	Julia	줄리아
pgn13	Flo	레이라
pig15	Kevin	멧지
shp11	Frita	웬디
tig00	Rolf	호랭이
ost06	Cranston	타키
pgn14	Sprinkle	크리미
pig16	Pancetti	브리트니
shp12	Muffy	프릴
tig01	Rowan	고메스
ost07	Phil	케인
pig17	Agnes	아그네스
shp13	Pietro	피엘
tig02	Tybalt	티볼트
wol00	Chief	대장
ost08	Blanche	신옥
shp14	Étoile	에뜨와르
tig03	Bangle	루주
wol01	Lobo	늑태
ost09	Flora	플라라
shp15	Dom	차둘
tig04	Leonardo	범호
wol02	Wolfgang	로보
tig05	Claudia	신디
wol03	Whitney	비앙카
tig06	Bianca	백희
wol04	Dobie	켄
wol05	Freya	산드라
wol06	Fang	시베리아
cbr00	Bluebear	글루민
cbr01	Maple	메이첼
duk00	Bill	코코아
wol08	Vivian	바네사
cbr02	Poncho	봉추
der00	Fauna	솔미
duk01	Joey	리처드
kal00	Yuka	유카리
wol09	Skye	릴리
cbr03	Pudge	우띠
der01	Bam	록키
duk02	Pate	나키
kal01	Alice	멜버른
cbr04	Kody	아이다호
der02	Zell	넬슨
duk03	Maelle	앤
kal02	Melba	아델레이드
cbr05	Stitches	패치
der03	Bruce	브루스
duk04	Deena	마리모
kal03	Sydney	시드니
cbr06	Vladimir	곰비
der04	Deirdre	나디아
duk05	Pompom	주디
kal04	Gonzo	근성
cbr07	Murphy	머피
der05	Lopez	톰슨
duk06	Mallary	스미모
kal05	Ozzie	동동이
brd00	Jay	참돌이
der06	Fuchsia	제시카
duk07	Freckles	다랑어
brd01	Robin	파틱
cbr09	Olive	올리브
der07	Beau	피터
duk08	Derwin	봉
brd02	Anchovy	안쵸비
der08	Diana	나탈리
duk09	Drake	푸아그라
kal08	Canberra	캔버라
brd03	Twiggy	핀틱
chn10	Plucky	파타야
der09	Erik	자끄
kal09	Lyman	오즈먼드
brd04	Jitters	딩요
chn11	Knox	금끼오
bea00	Teddy	병태
brd05	Piper	파이프
chn12	Broffina	히킨
bea01	Pinky	링링
brd06	Admiral	일섭
chn13	Ken	오골
rbt00	Bunnie	릴리안
bea02	Curt	뚝심
cat00	Bob	히죽
rbt01	Dotty	서머
bea03	Chow	츄양
brd08	Midge	핑글이
cat01	Mitzi	마르
rbt02	Coco	이요
cat02	Rosie	부케
elp10	Tia	티나
rbt03	Snake	닌토
bea05	Nate	박하스
cat03	Olivia	올리비아
elp11	Chai	피카
ham00	Hamlet	햄스틴
rbt04	Gaston	대길
bea06	Groucho	거무틱
cat04	Kiki	캐비어
elp12	Cyd	펑크스
gor00	Cesar	앨런
ham01	Apple	애플
rbt05	Gabi	패티카
bea07	Tutu	연유
cat05	Tangy	백프로
gor01	Peewee	덤벨
ham02	Graham	글라햄
hip00	Rocco	곤잘레스
kgr00	Kitt	애플리케
rbt06	Pippy	로타
bea08	Ursala	네이아
cat06	Punchy	빙티
gor02	Boone	만복이
ham03	Rodney	지미
kgr01	Mathilda	안젤라
rbt07	Tiffany	바슬레
bea09	Grizzly	무뚝
cat07	Purrl	타마
ham04	Soleil	샨티
hip02	Bubbles	차코
kgr02	Carrie	마미
rbt08	Genji	토시
cat08	Moe	진상
gor04	Louie	머슬
ham05	Clay	햄둥
hip03	Bertha	베티
pbr00	Apollo	아폴로
rbt09	Ruby	루나
cat09	Kabuki	가북희
gor05	Boyd	보이드
ham06	Flurry	뽀야미
hip04	Biff	가브리엘
mus10	Anicotti	라자냐
pbr01	Amelia	안데스
ham07	Hamphrey	햄쥐
hip05	Bitty	비티
kgr05	Astrid	펑키맘
pbr02	Pierce	세바스찬
gor07	Violet	줌마
hrs10	Clyde	마철이
kgr06	Sylvia	실비아
mus12	Broccolo	브로콜리
pbr03	Buzz	근엄
